,frequency,refcoef
0,1.0,-22.16545
1,1.02,-21.43552
2,1.05,-20.46229
3,1.08,-19.3674
4,1.11,-18.15085
5,1.14,-17.17762
6,1.18,-16.20438
7,1.21,-16.20438
8,1.25,-16.32603
9,1.29,-16.56934
10,1.33,-16.691
11,1.36,-17.05596
12,1.4,-17.29927
13,1.44,-17.54258
14,1.47,-17.54258
15,1.51,-17.54258
16,1.55,-17.42092
17,1.58,-17.05596
18,1.61,-17.29927
19,1.64,-17.90754
20,1.68,-18.27251
21,1.71,-18.51582
22,1.75,-19.00243
23,1.79,-19.48905
24,1.82,-20.09732
25,1.86,-20.94891
26,1.89,-22.40876
27,1.92,-23.74696
28,1.95,-22.16545
29,1.97,-20.82725
30,1.99,-19.24574
31,2.02,-18.39416
32,2.05,-17.54258
33,2.08,-17.29927
34,2.12,-17.17762
35,2.15,-17.29927
36,2.19,-17.78589
37,2.22,-18.51582
38,2.26,-18.51582
39,2.29,-18.15085
40,2.31,-19.48905
41,2.34,-20.94891
42,2.36,-21.19221
43,2.4,-21.07056
44,2.41,-20.82725
45,2.44,-21.80049
46,2.46,-22.0438
47,2.48,-23.50365
48,2.49,-26.66667
49,1.0,-27.51825
50,1.02,-26.42336
51,1.05,-25.32847
52,1.09,-23.86861
53,1.11,-22.77372
54,1.15,-21.80049
55,1.18,-20.94891
56,1.22,-20.7056
57,1.25,-20.82725
58,1.29,-21.07056
59,1.33,-21.43552
60,1.36,-22.0438
61,1.4,-23.26034
62,1.44,-23.6253
63,1.47,-23.74696
64,1.51,-24.23358
65,1.55,-24.23358
66,1.58,-24.11192
67,1.61,-24.84185
68,1.64,-25.81509
69,1.67,-26.90998
70,1.71,-28.49148
71,1.74,-30.3163
72,1.78,-35.30414
73,1.83,-49.41606
74,1.85,-42.72506
75,1.89,-32.62774
76,1.92,-29.34307
77,1.95,-27.39659
78,1.97,-26.90998
79,1.99,-26.78832
80,2.02,-25.93674
81,2.05,-25.32847
82,2.08,-25.57178
83,2.12,-27.6399
84,2.15,-33.23601
85,2.18,-33.11436
86,2.22,-25.32847
87,2.25,-25.81509
88,2.29,-30.3163
89,2.31,-26.3017
90,2.33,-25.69343
91,2.36,-26.54501
92,2.4,-27.6399
93,2.41,-28.61314
94,2.43,-28.00487
95,2.45,-29.95134
96,2.47,-31.77616
97,2.49,-32.62774
98,1.0,-35.91241
99,1.02,-34.93917
100,1.05,-33.11436
101,1.09,-31.28954
102,1.11,-29.95134
103,1.15,-28.9781
104,1.18,-28.36983
105,1.22,-28.24818
106,1.25,-28.49148
107,1.29,-28.73479
108,1.32,-29.22141
109,1.36,-29.95134
110,1.4,-30.19465
111,1.44,-30.92457
112,1.47,-31.41119
113,1.51,-32.14112
114,1.55,-32.62774
115,1.58,-32.62774
116,1.61,-32.62774
117,1.65,-32.62774
118,1.68,-32.62774
119,1.71,-32.87105
120,1.74,-33.11436
121,1.78,-34.57421
122,1.82,-35.6691
123,1.85,-36.88564
124,1.89,-37.61557
125,1.92,-37.25061
126,1.95,-36.52068
127,1.97,-36.39903
128,1.99,-36.15572
129,2.02,-36.03406
130,2.05,-35.79075
131,2.08,-35.06083
132,2.12,-34.45255
133,2.15,-34.20925
134,2.18,-35.06083
135,2.22,-38.3455
136,2.25,-38.71046
137,2.29,-44.54988
138,2.31,-39.6837
139,2.34,-38.95377
140,2.37,-38.95377
141,2.39,-42.72506
142,2.41,-45.76642
143,2.43,-49.65937
144,2.45,-49.65937
145,2.47,-52.57908
146,2.49,-44.67153
147,1.0,-43.57664
148,1.02,-42.72506
149,1.05,-40.65693
150,1.09,-38.58881
151,1.12,-37.0073
152,1.15,-35.79075
153,1.18,-35.06083
154,1.22,-34.45255
155,1.25,-34.3309
156,1.29,-34.57421
157,1.32,-35.06083
158,1.36,-35.91241
